name;lat;lon;value
Rentweinsdorf-Treinfeld;50,061455;10,812862;8
Kahl/Main;50,064347;8,992973;11,3
Heinrichsthal;50,066435;9,345818;20
Königsberg/Bayern-Holzhausen;50,078549;10,488725;7,1
Staffelstein, Bad-Stublang;50,080563;11,046698;3
Lauperath-Scheidchen;50,084966;6,316098;12,5
Offenbach-Wetterpark;50,08995;8,786165;15,3
Hohenberg/Eger;50,092005;12,213351;0,8
Manderscheid-Sonnenhof;50,101542;6,800909;13,2
Densborn;50,12201;6,599032;12,4
Ludwigschorgast;50,122626;11,559564;2,3
Frankfurt/Main-Westend;50,126877;8,669396;17,7
Mühlheim/Main;50,129438;8,820886;13,5
Wiesbaden-Auringen;50,132052;8,316938;18,3
Itzgrund-Herreth;50,133705;10,931664;4
Burgkunstadt;50,142944;11,232231;1,9
Stammbach-Querenbach;50,153146;11,740168;5,1
Maßbach;50,179768;10,271991;3,2
Aura im Sinngrund;50,180523;9,574273;12,8
Prüm-Watzerath;50,180668;6,350901;11,1
Kail;50,184128;7,240018;3,9
Schönwald/Ofr.-Brunn;50,184665;12,079139;1,7
Hohenstein-Breithardt;50,191809;8,08884;13,9
Vilbel, Bad-Dortelweil;50,21349;8,74525;14,4
Rehau;50,221377;12,027537;1,5
Kleiner Feldberg/Taunus;50,221797;8,446883;17,9
Kissingen, Bad;50,223991;10,079245;4
Winterspelt;50,228181;6,207111;11,6
Sulzdorf an der Lederhecke;50,241724;10,566952;3,9
Wächtersbach;50,243548;9,289247;16,5
Homburg, Bad (Filterwerk);50,244571;8,572503;23,5
Oberbachheim;50,248002;7,745633;8
Kronach;50,252352;11,320925;4,6
Waldems-Reinborn;50,259603;8,360676;11,2
Oberleichtersbach-Modlos;50,266144;9,772709;8,9
Gründau-Breitenborn;50,266701;9,185383;14
Elster, Bad-Sohl;50,27046;12,274171;0,3
Nidderau-Erbstadt;50,27406;8,86529;8,9
Königshofen, Bad;50,284014;10,445599;1,3
Camberg, Bad;50,286318;8,294862;11,8
Erlbach-Eubabrunn;50,304319;12,383436;0,3
Lautertal-Oberlauter;50,306639;10,967938;8,4
Lissendorf;50,310518;6,623578;10,1
Hof;50,312257;11,876039;1,9
Föritztal-Neuhaus-Schierschnitz;50,325038;11,239477;6
Schlüchtern-Herolz;50,344656;9,55333;13,3
Sandberg;50,351779;10,003374;9,4
Holzheim bei Diez;50,357409;8,048498;13,6
Nauheim, Bad;50,357418;8,750564;9,2
Klingenthal-Kamerun;50,359393;12,483642;2,4
Nürburg-Barweiler;50,360174;6,869659;2,8
Steben, Bad;50,361759;11,622292;6,6
Weischlitz-Heinersgrün;50,388691;11,995528;0,3
Frankenblick-Mengersgereuth-Hämmern;50,390367;11,132363;10,8
Runkel-Ennerich;50,393972;8,142276;10,6
Rodder;50,396548;6,856804;2,4
Teuschnitz;50,400246;11,38883;9,9
Gedern-Schönhausen;50,403352;9,207585;14,4
Hirschberg;50,404029;11,819302;1,7
Römhild-Sülzdorf;50,409851;10,490142;1,2
Dahlem-Schmidtheim;50,411493;6,561503;9,2
Veilsdorf;50,41672;10,815607;8,1
Andernach;50,423665;7,420171;3
